sample_id,stream_group,minor_stream_group,date,glacial_frac,glacial_frac_sd,snowpack_frac,snowpack_frac_sd,prcp_act_frac,prcp_act_frac_sd,lentic_frac,lentic_frac_sd
2018_010_NorthRiverMouth_1,Pituffik,Pituffik Mouth,18/06/2018,0.284,0.218,0.561,0.243,0.129,0.196,0.025,0.054
2018_032_NorthRiverMouth_1,Pituffik,Pituffik Mouth,23/06/2018,0.278,0.213,0.607,0.229,0.094,0.16,0.021,0.047
2018_033_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,23/06/2018,0.172,0.15,0.767,0.165,0.047,0.093,0.014,0.034
2018_043_NorthRiverMouth_1,Pituffik,Pituffik Mouth,27/06/2018,0.32,0.236,0.526,0.246,0.129,0.199,0.025,0.054
2018_044_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,27/06/2018,0.155,0.137,0.786,0.157,0.045,0.089,0.014,0.035
2018_047_IceWallStream_1,Pituffik,Pituffik Ice Wall Head,27/06/2018,0.161,0.14,0.765,0.167,0.057,0.111,0.016,0.037
2018_089_NorthRiverMouth_1,Pituffik,Pituffik Mouth,02/07/2018,0.326,0.243,0.267,0.237,0.359,0.295,0.048,0.091
2018_134_NorthRiverMouth_1,Pituffik,Pituffik Mouth,08/07/2018,0.46,0.273,0.374,0.25,0.139,0.196,0.027,0.058
2018_135_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,08/07/2018,0.581,0.273,0.306,0.24,0.09,0.147,0.023,0.056
2018_136_NorthRiverShelter5.8_08.07.18,Pituffik,Pituffik Ice Wall,08/07/2018,0.296,0.224,0.591,0.234,0.09,0.155,0.023,0.051
2018_140_NorthRiverMouth_1,Pituffik,Pituffik Mouth,11/07/2018,0.34,0.249,0.351,0.258,0.271,0.275,0.038,0.076
2018_141_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,11/07/2018,0.484,0.278,0.305,0.239,0.175,0.22,0.036,0.071
2018_142_NorthRiverShelter5.8_11.07.18,Pituffik,Pituffik Ice Wall,11/07/2018,0.167,0.147,0.772,0.165,0.046,0.093,0.014,0.035
2018_198_NorthRiverMouth_1,Pituffik,Pituffik Mouth,07/08/2018,0.675,0.248,0.187,0.192,0.103,0.161,0.035,0.079
