sample_id,date,latitude,longitude,elevation,d18O,d2H,dxs,site_name_original,type,type_number,catchment_name,alt_catchment_name,stream_group,minor_stream_group,qc_flag
2018_033_NorthRiverShelter5.8_1,23/06/2018,76.5203,-68.3681,195,-0.024,-0.179,0.013,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2018_044_NorthRiverShelter5.8_1,27/06/2018,76.5203,-68.3681,195,-0.0242,-0.181,0.013,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2018_136_NorthRiverShelter5.8_08.07.18,08/07/2018,76.5203,-68.3681,195,-0.0228,-0.171,0.011,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2018_142_NorthRiverShelter5.8_11.07.18,11/07/2018,76.5203,-68.3681,195,-0.0241,-0.18,0.013,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2018_233_NorthRiverShelter5.8_lost,19/07/2018,76.5203,-68.3681,195,,,,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,1
2018_244_NorthRiverShelter5.8_1,30/07/2018,76.5203,-68.3681,195,-0.0217,-0.167,0.007,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2018_254_NorthRiverShelter5.8_1,03/08/2018,76.5203,-68.3681,195,-0.0216,-0.163,0.01,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2018_209_NorthRiverShelter5.8_1,10/08/2018,76.5203,-68.3681,195,-0.0208,-0.156,0.01,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2018_219_NorthRiverShelter5.8_15.08.18,15/08/2018,76.5203,-68.3681,195,-0.0208,-0.157,0.009,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2019_003_NorthRiverShelter5.8_17072019,17/07/2019,76.5203,-68.3681,195,-0.0207,-0.156,0.01,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2019_025_NorthRiverShelter5.8_19072019,19/07/2019,76.5203,-68.3681,195,-0.0212,-0.159,0.011,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2019_058_NorthRiverShelter5.8_22072019,22/07/2019,76.5203,-68.3681,195,-0.0205,-0.153,0.011,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2019_144_NorthRiverShelter5.8_26072019,26/07/2019,76.5203,-68.3681,195,-0.0209,-0.156,0.011,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
2019_199_NorthRiverShelter5.8_30072019,30/07/2019,76.5203,-68.3681,195,-0.02,-0.153,0.007,North River Shelter 5.8,stream,3,Pituffik,North River,Pituffik,Pituffik Ice Wall,0
