sample_id,date,latitude,longitude,elevation,d18O,d2H,dxs,site_name_original,catchment_name,alt_catchment_name,sourcetype,sourcetype_detailed,qc_flag
2018_119_BlackshoreLake_1,06/07/2018,76.5405,-68.4088,159,-0.0195,-0.154,0.002,Blackshore Lake,Pituffik,North River,lentic,lake,0
2019_092_Blackshorelake_23072019,23/07/2019,76.5405,-68.4088,159,-0.019,-0.155,-0.003,Blackshore Lake,Pituffik,North River,lentic,lake,0
2018_118_BMEWSBacksideLake_1,06/07/2018,76.5451,-68.39,171,-0.0203,-0.159,0.003,BMEWS Backside Lake,Pituffik,North River,lentic,lake,0
2019_090_BMEWSBacksideLake_23072019,23/07/2019,76.5451,-68.39,171,-0.0203,-0.166,-0.004,BMEWS Backside Lake,Pituffik,North River,lentic,lake,0
2018_113_LakeAqua_1,06/07/2018,76.5427,-68.4931,129,-0.0173,-0.141,-0.003,Lake Aqua,Pituffik,North River,lentic,lake,0
2019_063_LakeAqua_22072019,22/07/2019,76.5427,-68.4931,129,-0.0161,-0.137,-0.008,Lake Aqua,Pituffik,North River,lentic,lake,0
2018_115_LonesomeCabinLake_1,06/07/2018,76.5404,-68.4956,127,-0.0172,-0.14,-0.002,Lonesome Cabin Lake,Pituffik,North River,lentic,lake,0
2019_064_LonesomeCabinLake_22072019,22/07/2019,76.5404,-68.4956,127,-0.0165,-0.137,-0.005,Lonesome Cabin Lake,Pituffik,North River,lentic,lake,0
2018_274_LoonPond_1,23/08/2018,76.5441,-68.4679,136,-0.0142,-0.127,-0.013,Loon Pond,Pituffik,North River,lentic,lake,0
2019_065_LoonPond_22072019,22/07/2019,76.5441,-68.4679,136,-0.0134,-0.126,-0.019,Loon Pond,Pituffik,North River,lentic,lake,0
2018_112_MossyBottomPond_06.07.18,06/07/2018,76.5437,-68.479,136,-0.0173,-0.145,-0.007,Mossy Bottom Pond,Pituffik,North River,lentic,lake,0
2019_123_MossyBottomPond_26072019,26/07/2019,76.5437,-68.479,136,-0.014,-0.132,-0.02,Mossy Bottom Pond,Pituffik,North River,lentic,lake,0
2018_189_ParisPond_1,24/07/2018,76.5182,-68.4411,190,-0.0173,-0.142,-0.004,Paris Pond,Pituffik,North River,lentic,lake,0
2018_278_PartyHouseLake_1,23/08/2018,76.5432,-68.4122,161,-0.0158,-0.132,-0.006,Party House Lake,Pituffik,North River,lentic,lake,0
2019_091_PartyHouseLake_23072019,23/07/2019,76.5432,-68.4122,161,-0.0154,-0.13,-0.007,Party House Lake,Pituffik,North River,lentic,lake,0
2018_267_PowerLake_1,23/08/2018,76.5462,-68.5516,178,-0.0154,-0.13,-0.007,Power Lake,Pituffik,North River,lentic,lake,0
2019_207_PowerLake_30072019,30/07/2019,76.5462,-68.5516,178,-0.0148,-0.127,-0.009,Power Lake,Pituffik,North River,lentic,lake,0
2018_200_DLaunchLake_07.08.18,07/08/2018,76.5105,-68.88,86,-0.0178,-0.141,0.001,D Launch Lake,Sioraq,South River,lentic,lake,0
2019_069_DLaunncLake_22072019,22/07/2019,76.5105,-68.88,86,-0.0174,-0.14,-0.001,D Launch Lake,Sioraq,South River,lentic,lake,0
2018_020_NorthMountainRoadPool_1,22/06/2018,76.5441,-68.6105,249,-0.0179,-0.145,-0.002,North Mountain Road Pool,Pituffik,North River,lentic,pool,0
2018_277_NorthMountainRoadPool_1,23/08/2018,76.5441,-68.6105,249,-0.0167,-0.137,-0.003,North Mountain Road Pool,Pituffik,North River,lentic,pool,0
2019_203_NorthMountainPool_30072019,30/07/2019,76.5441,-68.6105,249,-0.0147,-0.128,-0.01,North Mountain Road Pool,Pituffik,North River,lentic,pool,0
2018_263_PytheasPlainPool_1,21/08/2018,76.5661,-68.2384,368,-0.0172,-0.14,-0.002,Pytheas Plain Pool,Pituffik,North River,lentic,pool,0
2018_127_PMountainPlainPool_07.07.18,07/07/2018,76.4604,-68.631,292,-0.016,-0.133,-0.005,P Mountain Plain Pool,Sioraq,South River,lentic,pool,0
2019_118_PMountainPlainPool_25072019,25/07/2019,76.4604,-68.631,292,-0.0126,-0.118,-0.017,P Mountain Plain Pool,Sioraq,South River,lentic,pool,0
2018_Colgan_firncore_2-3m_mean,25/05/2018,76.3678,-68.0106,802,-0.0183,-0.134,0.012,Colgan firn core 2-3 m,Other,Other,glacial,firn,0
2018_Colgan_firncore_3-4m_mean,26/05/2018,76.3678,-68.0106,802,-0.0187,-0.138,0.011,Colgan firn core 3-4 m,Other,Other,glacial,firn,0
2018_Colgan_firncore_4-5m_mean,27/05/2018,76.3678,-68.0106,802,-0.0182,-0.135,0.01,Colgan firn core 4-5 m,Other,Other,glacial,firn,0
2018_Colgan_firncore_5-8m_mean,28/05/2018,76.3678,-68.0106,802,-0.0185,-0.137,0.011,Colgan firn core 5-8 m,Other,Other,glacial,firn,0
2018_Colgan_firncore_8-12m_mean,29/05/2018,76.3678,-68.0106,802,-0.0187,-0.138,0.012,Colgan firn core 8-12 m,Other,Other,glacial,firn,0
2018_180_IceCliffBaseIce_3,16/07/2018,76.4894,-68.2705,363,-0.0195,-0.144,0.012,Ice Cliff Base Ice,Pituffik,North River,glacial,direct_ice,0
2018_181_IceCliffCleanIceLayer_3,16/07/2018,76.4894,-68.2705,363,-0.0187,-0.138,0.012,Ice Cliff Clean Ice Layer,Pituffik,North River,glacial,direct_ice,0
2018_182_IceCliffDirtyIceLayer_3,16/07/2018,76.4894,-68.2705,363,-0.0191,-0.14,0.013,Ice Cliff Dirty Ice Layer,Pituffik,North River,glacial,direct_ice,0
2019_184_IceCanyonSurfaceSnow4cmIcy_29072019,29/07/2019,76.4058,-68.3144,482,-0.0187,-0.14,0.01,Ice Canyon Surface 4 cm Icy,Sioraq,South River,glacial,direct_ice,0
2019_165_OldMineIceWallSurfaceSnow15m_27072019,27/07/2019,76.4319,-68.2633,501,-0.021,-0.158,0.01,Ice Waterfall Ice Wall Surface 15m,Sioraq,South River,glacial,direct_ice,0
2019_166_OldMineIceWallSurfaceSnow20m_27072019,27/07/2019,76.4319,-68.2633,501,-0.0193,-0.148,0.006,Ice Waterfall Ice Wall Surface 20m,Sioraq,South River,glacial,direct_ice,0
